framework,lifetime_median,lifetime_mean,lifetime_stddev
django,,,
rails,3.0,34.66813833701251,58.774633418032884
spring-framework,2.0,-17.878567091681845,267.8058768496759
gin,2.0,19.955156950672645,45.67558692895019
express,0.0,20.67910447761194,62.192596925226155
ktor,9.0,44.60233918128655,77.65805787847432
vapor,4.0,69.984375,122.40587693187257
core,4.0,12.885491216655822,27.246653159031755
playframework,8.0,38.65,70.23677243211473
laravel,,,
